Year,Month,Day,Hour,temperature_f,wind_speed_mph,wind_bearing_deg,relative_humidity,visibility_miles_max_10,pressure_mb,Value,more_polluted
2014,2,7,14,26.87,6.46,107,0.78,3.18,1025.27,90,0
2014,2,7,17,26.11,4.74,150,0.79,2.84,1024.41,109,1
2014,2,7,20,24.05,5.81,138,0.83,2.68,1025.07,106,1
2014,2,7,23,24.53,3.76,141,0.85,1.53,1025,106,1
2014,2,8,2,23.53,2.01,133,0.84,2.31,1025.5,88,0
2014,2,8,5,23.15,1.93,225,0.77,3.27,1025.02,132,1
2014,2,8,8,22.85,6.38,335,0.8,3.51,1027.06,146,1
2014,2,8,11,29.11,8.11,345,0.57,8.9,1028.52,20,0
2014,2,8,14,32.8,10.72,333,0.34,9.57,1027.62,6,0
2014,2,8,17,26.19,13.12,351,0.38,9.28,1029.48,10,1
2014,2,8,20,20.96,12.39,350,0.4,9,1033.62,14,1
2014,2,8,23,19,13.56,332,0.31,9.55,1035.4,9,0
2014,2,9,2,14.44,10.32,332,0.37,9.67,1037.57,10,1
2014,2,9,5,9.79,9.08,335,0.48,10,1037.84,10,1
2014,2,9,8,15.34,6.56,359,0.35,10,1038.95,16,1
2014,2,9,11,23.86,9.25,338,0.26,10,1039.04,14,1
2014,2,9,14,26.02,7.54,342,0.25,8.24,1035.8,14,1
2014,2,9,17,25.24,10.29,298,0.25,10,1035.38,11,1
2014,2,9,20,21.63,8.98,296,0.34,8.66,1037.03,26,0
2014,2,9,23,14.82,8.25,348,0.44,10,1037.6,11,1
2014,2,10,2,12.24,5.89,358,0.45,10,1038.58,9,0
2014,2,10,5,8.81,5.93,17,0.52,10,1037.71,8,0
2014,2,10,8,14.93,5.1,7,0.48,10,1038.89,13,1
2014,2,10,11,24.58,1.58,44,0.28,10,1037.83,18,1
2014,2,10,14,27.37,5.67,153,0.25,10,1033.88,26,0
2014,2,10,17,26.28,6.02,187,0.3,10,1032.56,34,0
2014,2,10,20,22.85,3.63,190,0.48,7.07,1033.03,53,0
2014,2,10,23,18.35,2.04,151,0.57,2.6,1032.2,66,0
2014,2,11,2,11.91,0.86,89,0.65,5.63,1031.23,120,1
2014,2,11,5,9.49,1.02,352,0.65,6.03,1029.68,112,1
2014,2,11,8,14,2.27,4,0.64,3.15,1030.86,66,0
2014,2,11,11,26.53,2.3,160,0.34,4.98,1029.63,90,0
2014,2,11,14,32,5.98,195,0.26,6.05,1026.51,146,1
2014,2,11,17,31.69,5.96,232,0.32,5.63,1026.33,188,1
2014,2,11,20,21.83,0.92,137,0.53,4.43,1028.17,204,0
2014,2,11,23,16.59,1.57,44,0.67,2.66,1029.2,220,0
2014,2,12,2,12.82,6.4,354,0.69,3.4,1030.38,241,0
2014,2,12,5,16.45,6.41,329,0.62,4.4,1031.55,141,1
2014,2,12,8,21.06,2.67,357,0.53,4.31,1033.68,87,0
2014,2,12,11,33.1,2.51,43,0.22,5.89,1034.69,36,0
2014,2,12,14,37.25,4.36,96,0.19,7.25,1032.51,114,1
2014,2,12,17,34.49,3.04,190,0.25,3.71,1032.7,162,1
2014,2,12,20,32.3,4.51,201,0.36,3.76,1034.77,175,1
2014,2,12,23,26.77,8.72,112,0.71,2.34,1036,268,0
2014,2,13,2,22.49,2.79,119,0.64,4.22,1036.84,193,0
2014,2,13,5,23.22,3.1,79,0.6,3.99,1036.75,176,1
2014,2,13,8,22.8,4.42,132,0.55,3.56,1037.87,198,0
2014,2,13,11,27.98,6.31,143,0.52,3.41,1037.37,214,0
2014,2,13,14,31.76,6.73,183,0.49,3.36,1033.78,208,0
2014,2,13,17,30.45,3.78,161,0.55,3.11,1032.02,220,0
2014,2,13,20,24.97,2.32,62,0.66,2.94,1032.17,250,0
2014,2,13,23,25.23,1.58,55,0.65,2.65,1031.2,263,0
2014,2,14,2,20.08,1.14,122,0.8,2.31,1029.69,276,0
2014,2,14,5,18.73,0.46,40,0.78,2.39,1028.3,250,0
2014,2,14,8,20.69,0.82,359,0.8,1.76,1028.84,206,0
2014,2,14,11,30.84,2.49,137,0.59,1.87,1028.06,218,0
2014,2,14,14,36.21,2.41,63,0.44,2,1024.62,272,0
2014,2,14,17,34.92,2.32,188,0.46,1.64,1023.83,311,0
2014,2,14,20,27.58,1.35,73,0.66,1.46,1024.53,487,0
2014,2,14,23,24.29,0.82,220,0.71,0.94,1025,579,0
2014,2,15,2,19.96,1.82,10,0.78,0.95,1024.55,466,0
2014,2,15,5,22.19,0.48,311,0.8,1.32,1024.52,322,0
2014,2,15,8,23.77,0.93,21,0.72,1.13,1025.94,282,0
2014,2,15,11,33.16,1.92,32,0.53,1.29,1025.97,279,0
2014,2,15,14,37.8,3.37,74,0.47,1.35,1023.89,418,0
2014,2,15,17,37.15,1.94,153,0.48,1.59,1023.84,338,0
2014,2,15,19,29.41,4.45,103,0.62,1.25,1025.09,336,0
2014,2,15,20,27.04,1.6,59,0.67,1.32,1025.09,351,0
2014,2,15,23,27.35,4,20,0.73,1,1025.6,382,0
2014,2,16,2,24.23,5.61,333,0.75,1.13,1026.62,376,0
2014,2,16,5,23.17,7.06,351,0.79,1.25,1027.82,345,0
